Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2020-000001,10/15/2020,10/21/2020,Standard Class,CG-72806,Alejandro Grove,Home Office,United States,Spokane,Washington,93255,West,OFF-STO-84761,Office Supplies,Storage,Tennsco Steel Storage Cabinet,307.51,7,0.15,12.02
2,CA-2020-000001,10/15/2020,10/21/2020,Standard Class,CG-72806,Alejandro Grove,Home Office,United States,Spokane,Washington,23418,West,FUR-FUR-30689,Furniture,Furnishings,Tensor "Midnight Black" Torchiere Floor Lamp,121.06,1,0.05,15.4
3,CA-2020-000002,11/29/2020,11/30/2020,Same Day,CG-30561,Keith Dawkins,Corporate,United States,Memphis,Tennessee,60953,South,OFF-PAP-16619,Office Supplies,Paper,Xerox 1967,204.45,7,0.15,14.15
4,CA-2020-000002,11/29/2020,11/30/2020,Same Day,CG-30561,Keith Dawkins,Corporate,United States,Memphis,Tennessee,49644,South,TEC-COP-75624,Technology,Copiers,Sharp Wireless All-In-One Inkjet Printer,3023.9,1,0,681.34
5,CA-2020-000002,11/29/2020,11/30/2020,Same Day,CG-30561,Keith Dawkins,Corporate,United States,Memphis,Tennessee,63554,South,TEC-COP-84143,Technology,Copiers,Xerox WorkCentre 3220 Multifunction Laser Printer,3542.67,1,0.1,710.3
6,CA-2020-000003,9/26/2020,9/28/2020,First Class,CG-85062,Zuschuss Donatelli,Home Office,United States,San Francisco,California,32627,West,FUR-CHA-96862,Furniture,Chairs,Safco PlanMaster High-Back Chair,1230.75,3,0.15,-18.16
7,CA-2020-000003,9/26/2020,9/28/2020,First Class,CG-85062,Zuschuss Donatelli,Home Office,United States,San Francisco,California,26250,West,FUR-CHA-22089,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,1703.88,3,0,188.54
8,CA-2020-000003,9/26/2020,9/28/2020,First Class,CG-85062,Zuschuss Donatelli,Home Office,United States,San Francisco,California,28931,West,TEC-MAC-76952,Technology,Machines,Ativa V4110MDD Shredder,2369.41,3,0.05,-169.15
9,CA-2020-000004,12/28/2020,12/31/2020,First Class,CG-38396,Randall Shilling,Consumer,United States,Memphis,Tennessee,90598,South,TEC-PHO-88420,Technology,Phones,Cisco SPA 501G IP Phone,1786.25,4,0.1,183.76
10,CA-2020-000004,12/28/2020,12/31/2020,First Class,CG-38396,Randall Shilling,Consumer,United States,Memphis,Tennessee,65577,South,OFF-BIN-76926,Office Supplies,Binders,Wilson Jones Heavy Gauge Vinyl View Binder,243.55,6,0.15,-1.93
11,CA-2020-000005,10/10/2020,10/14/2020,Second Class,CG-35255,Jim Mitchum,Consumer,United States,Rockford,Illinois,63027,Central,FUR-CHA-94325,Furniture,Chairs,Global Leather Executive Chair,1202.12,4,0.1,-70.5
12,CA-2020-000005,10/10/2020,10/14/2020,Second Class,CG-35255,Jim Mitchum,Consumer,United States,Rockford,Illinois,29576,Central,OFF-SUP-53842,Office Supplies,Supplies,Fiskars Folding Scissors,357.32,5,0.2,-74.12
13,CA-2020-000005,10/10/2020,10/14/2020,Second Class,CG-35255,Jim Mitchum,Consumer,United States,Rockford,Illinois,78620,Central,TEC-COP-61316,Technology,Copiers,Sharp Wireless All-In-One Inkjet Printer,15302.16,6,0.1,2330.79
14,CA-2020-000006,12/19/2020,12/22/2020,Second Class,CG-31200,Eric Hoffmann,Corporate,United States,Shreveport,Louisiana,61250,South,TEC-PHO-85018,Technology,Phones,Motorola 6200 Series VVX 600,568.08,1,0.15,32.44
15,CA-2020-000006,12/19/2020,12/22/2020,Second Class,CG-31200,Eric Hoffmann,Corporate,United States,Shreveport,Louisiana,79242,South,OFF-APP-56761,Office Supplies,Appliances,Holmes Replacement Filter for Air Purifier,746.7,6,0.15,-31.14
